# plik lowl lowE chi_eff_sq As ns tau
2.747056e+03 6.655002e+01 3.976407e+02 3.211247e+03 2.15535724 0.96694776 0.07245005
2.805935e+03 5.735333e+01 3.976522e+02 3.260941e+03 2.21237183 0.96082737 0.07122176
4.019620e+03 5.750492e+01 3.985954e+02 4.475720e+03 2.27873071 0.96883266 0.07459135
3.081345e+03 5.646430e+01 3.990877e+02 3.536897e+03 2.25086902 0.96324146 0.07584440
3.146954e+03 5.705118e+01 3.958481e+02 3.599853e+03 2.18524082 0.95964654 0.05950990
3.180216e+03 6.071681e+01 3.981654e+02 3.639099e+03 2.14106699 0.95623253 0.07347997
3.144716e+03 5.888501e+01 3.974943e+02 3.601096e+03 2.22987016 0.96573099 0.07089288
2.681477e+03 6.402507e+01 3.978492e+02 3.143352e+03 2.19775480 0.96896047 0.07295371
2.863589e+03 6.385661e+01 3.983715e+02 3.325817e+03 2.15813947 0.96296607 0.07461684
2.648251e+03 6.633348e+01 3.974308e+02 3.112015e+03 2.18275996 0.97056778 0.07168371
2.906626e+03 6.373922e+01 3.976267e+02 3.367992e+03 2.21501271 0.97104367 0.07209674
2.638239e+03 6.395961e+01 3.970649e+02 3.099263e+03 2.16766928 0.96564909 0.06969812
3.115353e+03 6.383183e+01 3.969272e+02 3.576112e+03 2.12195377 0.95938724 0.06903860
2.643550e+03 6.788592e+01 3.972002e+02 3.108636e+03 2.16352097 0.97031500 0.07085778
4.631232e+03 8.092783e+01 3.968478e+02 5.109008e+03 2.05968838 0.97178246 0.07039376
2.644614e+03 6.659934e+01 3.969988e+02 3.108212e+03 2.16029012 0.96839662 0.06974638
3.203619e+03 7.084949e+01 3.969632e+02 3.671431e+03 2.11239689 0.96738806 0.06997589
2.637268e+03 6.433510e+01 3.966375e+02 3.098241e+03 2.16094661 0.96584031 0.06758374
2.640731e+03 6.863317e+01 3.965727e+02 3.105937e+03 2.15156086 0.97053281 0.06772613
2.650134e+03 6.826990e+01 3.966798e+02 3.115084e+03 2.15127522 0.96981917 0.06839899
3.849347e+03 7.757159e+01 3.965201e+02 4.323439e+03 2.07482313 0.97081222 0.06810934
2.952171e+03 6.863139e+01 3.968251e+02 3.417627e+03 2.12430693 0.96638366 0.06910290
2.706250e+03 7.054113e+01 3.963041e+02 3.173095e+03 2.16458025 0.97526688 0.06623202
3.666681e+03 7.079379e+01 3.968707e+02 4.134346e+03 2.09322035 0.96473699 0.06950852
2.678802e+03 6.711319e+01 3.962028e+02 3.142118e+03 2.16132759 0.97050428 0.06513595
2.635765e+03 6.435108e+01 3.973332e+02 3.097450e+03 2.17354796 0.96669717 0.07092898
3.050009e+03 6.614205e+01 3.972727e+02 3.513424e+03 2.12896233 0.96316924 0.07083779
4.725100e+03 7.459128e+01 3.965529e+02 5.196244e+03 2.05509085 0.96439711 0.06812254
7.496588e+03 2.000000e+30 3.965906e+02 2.000000e+30 2.17853701 1.06727670 0.06700887
3.103270e+03 6.989162e+01 3.964662e+02 3.569628e+03 2.10717201 0.96619339 0.06716853
2.789579e+03 6.350445e+01 3.970904e+02 3.250174e+03 2.14511262 0.96191673 0.06970468
3.588104e+03 5.834908e+01 3.976782e+02 4.044131e+03 2.25076241 0.96739846 0.07145710
2.802778e+03 6.774487e+01 3.970850e+02 3.267608e+03 2.19512097 0.97450893 0.07043894
3.806151e+03 6.575801e+01 3.975859e+02 4.269495e+03 2.25045272 0.97855301 0.07237434
2.856770e+03 6.017457e+01 3.970796e+02 3.314024e+03 2.14387221 0.95680383 0.06926758
2.652270e+03 5.931967e+01 3.974902e+02 3.109080e+03 2.18557120 0.96064342 0.07087116
4.245901e+04 4.208323e+01 3.968624e+02 4.289796e+04 2.62196017 0.96227511 0.06344659
4.133649e+03 6.694166e+01 3.972973e+02 4.597888e+03 2.08964049 0.95873675 0.07094441
2.685507e+03 5.496045e+01 3.970478e+02 3.137516e+03 2.17849600 0.95289449 0.06827179
3.101689e+03 6.114235e+01 3.971840e+02 3.560016e+03 2.22094095 0.96839454 0.07001261
4.394659e+03 5.262663e+01 3.978813e+02 4.845167e+03 2.28291463 0.96109351 0.07124825
3.835143e+04 2.000000e+30 3.967779e+02 2.000000e+30 1.72026627 0.97229550 0.07282229
2.943294e+03 5.977282e+01 3.977100e+02 3.400777e+03 2.14813634 0.95615751 0.07167364
2.830545e+03 6.135619e+01 3.971944e+02 3.289095e+03 2.20451356 0.96656503 0.07003799
4.010457e+03 6.712240e+01 3.979012e+02 4.475480e+03 2.10232671 0.96012343 0.07339737
